Parcel,Name,Address,Aldermanic District
70836222011,,,20
70836222029,,,20
70836301138,,,20
70836302128,,,20
70836303209,,,20
70836304033,,,20
70836304231,,,20
70836304265,,,20
70836306047,,,20
70836306071,,,20
70836307037,,,20
70836308275,,,20
70836205132,,,20
70836207097,,,20
70836207237,,,20
70836207469,,,20
70835306022,,,1
70835306337,,,1
70835307038,,,1
70835307236,,,1
70835307252,,,1
70835307335,,,1
70835309125,,,1
70835309208,,,1
70835318027,,,1
70835400957,,,20
70836103063,,,20
70836104102,,,20
70836106124,,,20
70836107205,,,20
70836110050,,,20
70836110208,,,20
70836114078,,,20
70836114094,,,20
70836114234,,,20
70836114359,,,20
70836116123,,,20
70836117254,,,20
70836201049,,,20
70836203293,,,20
70836204150,,,20
70835203161,,,20
70835302012,,,1
70835113055,,,20
70835114053,,,20
70833402145,,,1
70833403044,,,1
70833403177,,,1
70833404050,,,1
70834204136,,,1
70834206132,,,1
70834209087,,,1
70834213046,,,1
70834301130,,,1
70834303011,,,1
70834304035,,,1
70834307245,,,1
70834405031,,,1
70834422019,,,1
70834422027,,,1
70834422035,,,1
70834422043,,,1
70834422051,,,1
70834422069,,,1
70834422077,,,1
70834422085,,,1
70835107280,,,20
70835111041,,,20
70835112213,,,20
70829402050,,,1
70829402076,,,1
70829411077,,,1
70829413164,,,1
70829418312,,,1
70829421050,,,1
70829422040,,,1
70833103115,,,1
70833107026,,,1
70833109056,,,1
70833111209,,,1
70833118198,,,1
70833118221,,,1
70833123048,,,1
70833124096,,,1
70833202058,,,1
70833203022,,,1
70833203204,,,1
70833203296,,,1
70833210035,,,1
70833302254,,,1
70833302402,,,1
70833302444,,,1
70833304101,,,1
70833401072,,,1
70828310121,,,1
70828311187,,,1
70828312135,,,1
70828406061,,,1
70828408017,,,1
70828409015,,,1
70828413123,,,1
70828424063,,,1
70828425079,,,1
70828426184,,,1
70828432090,,,1
70828433022,,,1
70828447023,,,1
70829102030,,,1
70829102973,,,1
70829105076,,,1
70829108062,,,1
70829110182,,,1
70826312096,,,1
70826313333,,,1
70826405031,,,20
70826406047,,,20
70826407079,,,20
70826407087,,,20
70826408035,,,20
70826410452,,,20
70826410501,,,20
70828107099,,,1
70828109029,,,1
70828110018,,,1
70828113161,,,1
70828301154,,,1
70828301419,,,1
70828305023,,,1
70824212115,,,19
70824301025,,,19
70824301108,,,19
70824301231,,,19
70824306059,,,19
70824306075,,,19
70824404168,,,19
70824404267,,,19
70824404332,,,19
70824405017,,,19
70824406031,,,19
70824407237,,,19
70824408102,,,19
70824409077,,,19
70824410264,,,19
70824411262,,,19
70824417012,,,19
70824417020,,,19
70823315019,,,9
70823406264,,,9
70823406363,,,9
70823407080,,,9
70823413102,,,9
70823413376,,,9
70824109015,,,19
70824109065,,,19
70824204229,,,19
70824204378,,,19
70824206176,,,19
70824206192,,,19
70823102086,,,9
70823102268,,,9
70823103084,,,9
70823107234,,,9
70823110047,,,9
70823110310,,,9
70823110360,,,9
70823110998,,,9
70823112217,,,9
70823112233,,,9
70823113182,,,9
70823116011,,,9
70823117051,,,9
70823202018,,,9
70816405140,,,9
70816407047,,,9
70817402062,,,9
70817403028,,,9
70820105059,,,9
70820107039,,,9
70820107162,,,9
70820109150,,,9
70820110173,,,9
70820111147,,,9
70820115024,,,9
70821106014,,,9
70823208230,,,9
70823211382,,,9
70823304385,,,9
70823307165,,,9
70821405086,,,9
70822102201,,,9
70822102251,,,9
70822105429,,,9
70822107178,,,9
70822109091,,,9
70822110022,,,9
70822206061,,,9
70815308204,,,9
70816304011,,,9
70816305192,,,9
70816310026,,,9
70816310125,,,9
70816313111,,,9
70816314177,,,9
70816320067,,,9
70816401156,,,9
70816401320,,,9
70821112087,,,9
70821115015,,,9
70821115023,,,9
70821115031,,,9
70821115049,,,9
70821115057,,,9
70821115065,,,9
70821115073,,,9
70821115081,,,9
70821115099,,,9
70821207052,,,9
70821209032,,,9
70821212142,,,9
70821213059,,,9
70814428277,,,19
70814428285,,,19
70814428293,,,19
70814428300,,,19
70814428318,,,19
70814428326,,,19
70814428334,,,19
70814428342,,,19
70814428350,,,19
70814428368,,,19
70814428376,,,19
70814428384,,,19
70814429019,,,19
70814429027,,,19
70814429035,,,19
70814429043,,,19
70814429051,,,19
70814429069,,,19
70814429077,,,19
70814429085,,,19
70814429093,,,19
70814429100,,,19
70814429118,,,19
70814429126,,,19
70814429134,,,19
70814429142,,,19
70814429150,,,19
70814429168,,,19
70814429176,,,19
70814429184,,,19
70814429192,,,19
70814429209,,,19
70814429217,,,19
70814429225,,,19
70815306076,,,9
70815308147,,,9
70814420025,,,19
70814420033,,,19
70814420041,,,19
70814420059,,,19
70814420067,,,19
70814420075,,,19
70814420083,,,19
70814420091,,,19
70814420108,,,19
70814420116,,,19
70814420124,,,19
70814420132,,,19
70814420140,,,19
70814420158,,,19
70814420166,,,19
70814420174,,,19
70814420182,,,19
70814420190,,,19
70814420207,,,19
70814420215,,,19
70814420223,,,19
70814420231,,,19
70814420249,,,19
70814420257,,,19
70814420265,,,19
70814420273,,,19
70814420281,,,19
70814421015,,,19
70814421023,,,19
70814421031,,,19
70814421049,,,19
70814421057,,,19
70814421065,,,19
70814421073,,,19
70814421081,,,19
70814421099,,,19
70814421106,,,19
70814421114,,,19
70814421122,,,19
70814421130,,,19
70814421148,,,19
70814421156,,,19
70814421164,,,19
70814421172,,,19
70814421180,,,19
70814421198,,,19
70814421205,,,19
70814421213,,,19
70814421221,,,19
70814421239,,,19
70814421247,,,19
70814422013,,,19
70814422112,,,19
70814423029,,,19
70814424035,,,19
70814424176,,,19
70814424233,,,19
70814424241,,,19
70814425067,,,19
70814428011,,,19
70814428029,,,19
70814428037,,,19
70814428045,,,19
70814428053,,,19
70814428061,,,19
70814428079,,,19
70814428087,,,19
70814428095,,,19
70814428102,,,19
70814428110,,,19
70814428128,,,19
70814428136,,,19
70814428144,,,19
70814428152,,,19
70814428160,,,19
70814428178,,,19
70814428186,,,19
70814428194,,,19
70814428201,,,19
70814428219,,,19
70814428227,,,19
70814428235,,,19
70814428243,,,19
70814428251,,,19
70814428269,,,19
70814416082,,,19
70814417072,,,19
70814418054,,,19
70814419010,,,19
70814419028,,,19
70814419036,,,19
70814419044,,,19
70814419052,,,19
70814419060,,,19
70814419078,,,19
70814419086,,,19
70814419094,,,19
70814419101,,,19
70814419119,,,19
70814419127,,,19
70814419135,,,19
70814419143,,,19
70814419151,,,19
70814419169,,,19
70814419177,,,19
70814419185,,,19
70814419193,,,19
70814419200,,,19
70814419218,,,19
70814419226,,,19
70814419234,,,19
70814419242,,,19
70814419250,,,19
70814419268,,,19
70814419276,,,19
70814419284,,,19
70814419292,,,19
70814419309,,,19
70814419317,,,19
70814419325,,,19
70814419333,,,19
70814419341,,,19
70814419359,,,19
70814419367,,,19
70814419375,,,19
70814419383,,,19
70814420017,,,19
70814302174,,,19
70814303049,,,19
70814403237,,,19
70814403261,,,19
70814403328,,,19
70814404079,,,19
70814406041,,,19
70813112087,,,19
70813304048,,,19
70813305012,,,19
70813307068,,,19
70813307208,,,19
70813318065,,,19
70813323098,,,19
70813324070,,,19
70813324202,,,19
70813324236,,,19
70813326133,,,19
70813334011,,,19
70813334029,,,19
70813334037,,,19
70813334045,,,19
70813334053,,,19
70813334061,,,19
70813334079,,,19
70813334087,,,19
70813334095,,,19
70813334102,,,19
70813334110,,,19
70813334128,,,19
70813334136,,,19
70813334144,,,19
70813334152,,,19
70813401018,,,19
70814101112,,,19
70814101170,,,19
70814101253,,,19
70814201095,,,19
70814201110,,,19
70814202069,,,19
70814203190,,,19
70814203223,,,19
70814206037,,,19
70814206194,,,19
70814207134,,,19
60906109207,,,10
60906111070,,,10
60906201425,,,10
60906202168,,,10
60906203041,,,10
60906205055,,,10
60906205071,,,10
60906205229,,,10
60906206300,,,10
60906208108,,,10
60906208116,,,10
60906209148,,,10
70813103078,,,19
70813103200,,,19
60904111204,,,10
60904113408,,,10
60905105016,,,10
60905112079,,,10
60906101013,,,10
60906105148,,,10
60812404303,,,7
60812405161,,,7
60812405567,,,7
60812405674,,,7
60812406193,,,7
60901103072,,,14
60901201214,,,14
60901202105,,,14
60901202379,,,14
60901203278,,,14
60901204119,,,14
60903206171,,,14
60903227010,,,14
60903227028,,,14
60904102170,,,10
60904102287,,,10
60812313588,,,7
60812313596,,,7
60812313603,,,7
60812313611,,,7
60812313629,,,7
60812313637,,,7
60812313645,,,7
60812313653,,,7
60812313661,,,7
60812313679,,,7
60812313687,,,7
60812316095,,,7
60812318075,,,7
60812318091,,,7
60812219017,,,7
60812219025,,,7
60812219033,,,7
60812219041,,,7
60812219059,,,7
60812219067,,,7
60812219075,,,7
60812219083,,,7
60812221012,,,7
60812221020,,,7
60812221038,,,7
60812221046,,,7
60812302367,,,7
60812302383,,,7
60812302466,,,7
60812303357,,,7
60812304024,,,7
60812304123,,,7
60812305072,,,7
60812313471,,,7
60812313489,,,7
60812313497,,,7
60812313504,,,7
60812313512,,,7
60812313520,,,7
60812313538,,,7
60812313546,,,7
60812313554,,,7
60812313562,,,7
60812313570,,,7
60811419056,,,7
60811422025,,,7
60811425029,,,7
60811426027,,,7
60811427067,,,7
60811429013,,,7
60811429047,,,7
60811430086,,,7
60812103179,,,7
60812104078,,,7
60812104200,,,7
60812105109,,,7
60812106107,,,7
60812106264,,,7
60812108153,,,7
60812110249,,,7
60812111479,,,7
60812115158,,,7
60812115182,,,7
60812115231,,,7
60812116106,,,7
60812117120,,,7
60812121155,,,7
60812121254,,,7
60812121337,,,7
60812122070,,,7
60812201072,,,7
60812202020,,,7
60812202161,,,7
60812203169,,,7
60812204026,,,7
60812207145,,,7
60812207327,,,7
60811401128,,,7
60811402093,,,7
60811402184,,,7
60811403174,,,7
60811407118,,,7
60811409057,,,7
60811409081,,,7
60811410054,,,7
60811414022,,,7
60811415137,,,7
60811415343,,,7
60811415369,,,7
60811417042,,,7
60811417109,,,7
60811419014,,,7
60803113202,,,1
60804102072,,,1
60804103161,,,1
60804104200,,,1
60804106181,,,1
60804211055,,,1
60811103063,,,7
60811103295,,,7
60811108120,,,7
60811112105,,,7
60811202188,,,7
60811203053,,,7
60811302053,,,7
60811303118,,,7
60811304025,,,7
60811304405,,,7
60802415055,,,7
60802415146,,,7
60802417150,,,7
60802418025,,,7
60802419106,,,7
60803101322,,,1
60803102065,,,1
60803102081,,,1
60803103013,,,1
60803103097,,,1
60803103229,,,1
60803105043,,,1
60803105134,,,1
60803107239,,,1
60803113038,,,1
60802310130,,,7
60802310148,,,7
60802311071,,,7
60802312235,,,7
60802313150,,,7
60802314075,,,7
60802402060,,,7
60802408026,,,7
60802408050,,,7
60802408068,,,7
60802409066,,,7
60802409115,,,7
60802409181,,,7
60802411079,,,7
60802103105,,,7
60802104088,,,7
60802104369,,,7
60802107024,,,20
60802108056,,,20
60802112172,,,7
60802112239,,,7
60802112338,,,7
60802113039,,,7
60802203054,,,7
60802302400,,,7
60802303143,,,7
60802304290,,,7
60802309216,,,7
60802309266,,,7
60801405065,,,20
60801407186,,,7
60801408035,,,7
60801409083,,,7
60801413042,,,7
60801415080,,,20
60801415113,,,20
60801302237,,,7
60801302287,,,7
60801303087,,,7
60801305273,,,7
60801308152,,,7
60801310024,,,7
60801311030,,,7
60801312369,,,7
60801314092,,,7
60801315066,,,7
60801315123,,,7
81034401159,,,17
81034401167,,,17
81034402157,,,17
81034406117,,,17
81034407066,,,17
81034408204,,,17
81034409335,,,17
81034410027,,,17
60801206091,,,20
60801206158,,,20
60801207015,,,20
60801207081,,,20
60801210042,,,20
60801210068,,,20
60801210109,,,20
60801212452,,,20
